parcel_num,Category,building_class,year,acres,sqft
011011113,Existing,storage warehouse,2021,2,41000
011011114,Existing,storage warehouse,2021,2,39000
011012110,Existing,distribution warehouse,1982,4,106000
011031145,Existing,distribution warehouse,2016,8,187000
011031146,Existing,distribution warehouse,2016,25,589000
011031148,Existing,distribution warehouse,2016,7,174000
011031149,Existing,distribution warehouse,2016,10,233000
011031150,Existing,distribution warehouse,2016,32,774000
011031151,Existing,distribution warehouse,2016,42,1003000
011031160,Existing,distribution warehouse,2016,14,338000
011321141,Existing,storage warehouse,2021,3,62000
011327110,Existing,distribution warehouse,1989,11,256000
011327123,Existing,storage warehouse,1991,1,34000
011327125,Existing,storage warehouse,1991,1,30000
011327126,Existing,storage warehouse,1991,1,33000
011327127,Existing,storage warehouse,1991,1,29000
011327128,Existing,storage warehouse,1991,1,32000
011327136,Existing,distribution warehouse,2000,6,154000
011327137,Existing,distribution warehouse,2000,7,175000
011327138,Existing,distribution warehouse,2000,5,125000
011327139,Existing,distribution warehouse,2000,3,72000
011334329,Existing,storage warehouse,1988,1,36000
011334331,Existing,storage warehouse,2016,2,43000
011334334,Existing,distribution warehouse,2017,4,103000
011334339,Existing,storage warehouse,2005,3,76000
011335118,Existing,storage warehouse,2006,2,37000
011335119,Existing,storage warehouse,2006,1,31000
011335120,Existing,storage warehouse,2006,2,37000
011335122,Existing,storage warehouse,2008,2,41000
011335123,Existing,storage warehouse,2008,1,34000
011335124,Existing,storage warehouse,2008,2,37000
011335125,Existing,storage warehouse,2008,2,41000
011335126,Existing,flex,2008,5,118000
011335127,Existing,storage warehouse,2008,2,36000
011336147,Existing,distribution warehouse,2000,15,363000
011336149,Existing,storage warehouse,2002,2,36000
011336150,Existing,storage warehouse,2002,2,46000
011336155,Existing,storage warehouse,2006,1,33000
011336156,Existing,storage warehouse,2006,1,30000
011336157,Existing,storage warehouse,2006,1,34000
011336158,Existing,storage warehouse,2006,2,37000
011336159,Existing,flex,2006,7,159000
011336160,Existing,storage warehouse,2005,2,39000
011338210,Existing,flex,1989,4,102000
011338405,Existing,storage warehouse,1990,4,97000
011338406,Existing,storage warehouse,1989,3,71000
011339406,Existing,storage warehouse,2016,2,49000
011339423,Existing,light industrial,1989,7,168000
011339424,Existing,flex,1991,4,107000
011339425,Existing,flex,1989,5,118000
011339426,Existing,storage warehouse,2001,1,36000
011339427,Existing,storage warehouse,2001,2,45000
011339429,Existing,storage warehouse,1998,2,48000
011339430,Existing,storage warehouse,1998,2,40000
011339431,Existing,distribution warehouse,2021,6,133000
011339446,Existing,storage warehouse,2001,2,59000
011339447,Existing,storage warehouse,2001,2,47000
011339502,Existing,light industrial,1990,6,152000
011339509,Existing,storage warehouse,1987,2,40000
011339511,Existing,distribution warehouse,1989,6,144000
011339529,Existing,storage warehouse,1988,1,30000
011339538,Existing,light industrial,1980,6,140000
011339539,Existing,storage warehouse,2001,2,56000
011339540,Existing,storage warehouse,2001,2,44000
011339541,Existing,storage warehouse,2002,2,51000
011339544,Existing,storage warehouse,2002,2,38000
011339545,Existing,storage warehouse,2002,2,37000
011339546,Existing,storage warehouse,2002,3,62000
011339551,Existing,storage warehouse,1987,2,60000
011339552,Existing,storage warehouse,2006,1,33000
011339553,Existing,storage warehouse,2006,2,40000
011339604,Existing,distribution warehouse,2016,5,122000
011339606,Existing,storage warehouse,1991,3,81000
011339607,Existing,storage warehouse,1991,2,55000
011339609,Existing,storage warehouse,1991,2,38000
011339610,Existing,light industrial,2004,4,102000
011339612,Existing,storage warehouse,1982,4,100000
011340105,Existing,distribution warehouse,2000,19,454000
011340106,Existing,flex,2002,18,429000
011340202,Existing,distribution warehouse,2000,9,215000
011340213,Existing,storage warehouse,1999,1,30000
011340215,Existing,flex,2001,18,429000
011340216,Existing,distribution warehouse,2001,5,110000
011341420,Existing,light industrial,1980,4,91000
011341425,Existing,light industrial,1980,4,87000
011341438,Existing,storage warehouse,1998,2,48000
011341440,Existing,storage warehouse,2002,1,32000
011341441,Existing,storage warehouse,2002,1,33000
011341445,Existing,storage warehouse,2004,2,43000
011341572,Existing,storage warehouse,2019,2,57000
011341573,Existing,storage warehouse,2019,1,32000
011341574,Existing,distribution warehouse,2022,9,205000
011342105,Existing,light industrial,1996,16,394000
011342106,Existing,distribution warehouse,1996,9,224000
011342107,Existing,distribution warehouse,1996,8,195000
011342214,Existing,light industrial,2003,10,245000
011343107,Existing,flex,2002,11,261000
011343108,Existing,distribution warehouse,2002,8,184000
011343109,Existing,flex,2002,36,854000
011344109,Existing,distribution warehouse,1997,9,216000
011344110,Existing,distribution warehouse,1997,6,135000
011344111,Existing,distribution warehouse,1997,8,184000
011344112,Existing,distribution warehouse,1997,13,309000
011344216,Existing,distribution warehouse,1999,16,391000
011344217,Existing,distribution warehouse,1999,7,170000
011344218,Existing,distribution warehouse,1999,6,137000
011344219,Existing,distribution warehouse,1999,4,101000
011345119,Existing,light industrial,1999,3,83000
011345128,Existing,storage warehouse,1987,2,54000
011345129,Existing,light industrial,1988,8,197000
011345132,Existing,distribution warehouse,2017,8,182000
011345133,Existing,light industrial,1980,6,149000
011346221,Existing,light industrial,1988,4,97000
011346224,Existing,storage warehouse,2002,1,30000
011346226,Existing,storage warehouse,2002,2,43000
011346227,Existing,light industrial,2022,4,102000
011349118,Existing,distribution warehouse,2012,18,428000
011349130,Existing,distribution warehouse,1988,8,188000
011349139,Existing,light industrial,1987,5,120000
011349171,Existing,storage warehouse,1992,2,40000
011349182,Existing,light industrial,2005,29,704000
011358113,Existing,distribution warehouse,1984,1,31000
011364101,Existing,storage warehouse,1999,2,37000
011364103,Existing,storage warehouse,1999,2,42000
011364104,Existing,storage warehouse,1999,1,33000
011364105,Existing,storage warehouse,1999,2,37000
011364106,Existing,storage warehouse,1999,2,56000
011364107,Existing,storage warehouse,2000,2,37000
011364108,Existing,storage warehouse,2000,2,54000
011364109,Existing,storage warehouse,2000,1,34000
011364114,Existing,flex,2022,4,93000
012806148,Existing,distribution warehouse,2006,17,413000
012806231,Existing,storage warehouse,2003,12,282000
012806327,Existing,light industrial,1987,12,292000
012806329,Existing,flex,2006,32,777000
012806330,Existing,flex,2005,19,444000
012806331,Existing,distribution warehouse,2006,6,152000
012813107,Existing,light industrial,1980,5,122000
012814170,Existing,light industrial,1985,5,109000
012815111,Existing,light industrial,1980,5,124000
012815116,Existing,light industrial,1980,4,98000
012815138,Existing,distribution warehouse,1990,44,1045000
012815139,Existing,storage warehouse,1980,4,94000
012815142,Existing,distribution warehouse,1998,47,1122000
012815149,Existing,distribution warehouse,2008,3,78000
012815150,Existing,distribution warehouse,2008,12,278000
012815152,Existing,light industrial,2006,6,150000
012825104,Existing,storage warehouse,1980,2,52000
013021120,Existing,storage warehouse,1985,2,39000
013021140,Existing,storage warehouse,2008,2,53000
013022226,Existing,storage warehouse,1980,1,29000
013101110,Existing,distribution warehouse,2008,6,134000
013101111,Existing,light industrial,1980,4,98000
013101117,Existing,light industrial,1980,5,120000
013101118,Existing,light industrial,1980,5,109000
013101136,Existing,distribution warehouse,1991,9,214000
013101137,Existing,distribution warehouse,2016,12,290000
013101218,Existing,storage warehouse,1994,10,238000
013213228,Existing,transit warehouse (truck terminal),1980,2,59000
013218208,Existing,distribution warehouse,1987,3,71000
013601146,Existing,storage warehouse,1980,1,28000
013601164,Existing,storage warehouse,2022,2,46000
013610134,Existing,light industrial,1980,4,89000
013612243,Existing,storage warehouse,1980,2,41000
013612290,Existing,distribution warehouse,1980,1,30000
013613245,Existing,storage warehouse,1980,1,31000
013614118,Existing,distribution warehouse,1980,1,31000
013617135,Existing,distribution warehouse,1980,1,34000
013618247,Existing,storage warehouse,2022,4,93000
013627147,Existing,transit warehouse (truck terminal),1980,2,48000
013628232,Existing,light industrial,1980,4,106000
013632104,Existing,storage warehouse,1980,1,33000
013632114,Existing,storage warehouse,1980,1,28000
013632155,Existing,storage warehouse,2008,3,62000
013632156,Existing,light industrial,1980,12,283000
013633117,Existing,light industrial,2007,5,123000
013634165,Existing,distribution warehouse,2004,58,1391000
013634184,Existing,distribution warehouse,2005,50,1187000
013634185,Existing,distribution warehouse,2017,10,245000
013634186,Existing,distribution warehouse,2017,9,216000
013634187,Existing,distribution warehouse,2018,23,558000
013634188,Existing,distribution warehouse,2002,56,1343000
013635101,Existing,distribution warehouse,2006,20,481000
013635116,Existing,distribution warehouse,2006,19,462000
013636136,Existing,distribution warehouse,2012,48,1148000
013636139,Existing,distribution warehouse,2013,27,645000
013636140,Existing,distribution warehouse,2015,9,223000
013637139,Existing,distribution warehouse,2013,39,943000
013638119,Existing,light industrial,2007,5,109000
013639110,Existing,storage warehouse,2004,2,56000
013639122,Existing,storage warehouse,1981,9,209000
013639144,Existing,distribution warehouse,2005,32,763000
013639305,Existing,light industrial,1980,5,123000
013640111,Existing,distribution warehouse,2017,5,126000
013640151,Existing,storage warehouse,1990,2,41000
013640161,Existing,storage warehouse,1998,1,28000
013640163,Existing,storage warehouse,1999,2,51000
013640167,Existing,distribution warehouse,2001,3,83000
013642221,Existing,distribution warehouse,2020,17,401000
013645118,Existing,distribution warehouse,2021,6,149000
013645230,Existing,distribution warehouse,2020,8,192000
013646120,Existing,distribution warehouse,2020,6,145000
013646218,Existing,distribution warehouse,2020,5,114000
013647214,Existing,flex,2013,29,692000
013719107,Existing,storage warehouse,1980,1,29000
013821103,Existing,light industrial,1980,5,110000
013824126,Existing,transit warehouse (truck terminal),2001,32,768000
013831139,Existing,light industrial,1980,4,89000
013908142,Existing,light industrial,1980,6,138000
014101108,Existing,storage warehouse,1980,2,52000
014102102,Existing,storage building,2002,13,301000
014107109,Existing,storage warehouse,1980,2,41000
014107157,Existing,storage warehouse,1980,3,70000
014107183,Existing,storage warehouse,1980,2,43000
014107184,Existing,distribution warehouse,1980,4,99000
014120106,Existing,storage warehouse,2017,2,59000
014128208,Existing,storage warehouse,1980,1,29000
014129125,Existing,storage warehouse,1988,2,56000
014132135,Existing,distribution warehouse,1990,5,113000
014132136,Existing,distribution warehouse,1990,1,28000
014134111,Existing,transit warehouse (truck terminal),1980,2,42000
014134112,Existing,distribution warehouse,1980,2,41000
014134115,Existing,storage warehouse,1990,2,60000
014139109,Existing,storage warehouse,2013,7,170000
014139208,Existing,distribution warehouse,1985,10,249000
014143122,Existing,distribution warehouse,2018,14,326000
014210140,Existing,light industrial,2001,5,130000
014213202,Existing,light industrial,1980,14,331000
014221129,Existing,light industrial,1980,13,318000
014404267,Existing,distribution warehouse,1980,3,76000
014423232,Existing,storage warehouse,1980,2,39000
014718138,Existing,light industrial,2002,4,93000
014801150,Existing,distribution warehouse,2007,7,179000
014801153,Existing,distribution warehouse,2007,8,194000
014801154,Existing,distribution warehouse,2007,24,577000
014801165,Existing,distribution warehouse,2007,21,499000
014801168,Existing,distribution warehouse,2007,17,406000
014801169,Existing,distribution warehouse,2007,6,150000
014812202,Existing,light industrial,1980,7,156000
014812204,Existing,distribution warehouse,2020,14,327000
016014133,Existing,storage warehouse,1980,2,55000
016024112,Existing,light industrial,1980,9,212000
016024159,Existing,storage warehouse,1980,1,32000
016024248,Existing,storage warehouse,1980,1,34000
016106134,Existing,light industrial,1980,5,123000
016106139,Existing,light industrial,1980,6,134000
016208626,Existing,storage warehouse,1980,2,40000
016214128,Existing,storage warehouse,1980,2,47000
016314118,Existing,light industrial,2022,36,860000
016320107,Existing,storage warehouse,1980,4,105000
016327307,Existing,storage warehouse,1980,4,85000
016329223,Existing,light industrial,1980,4,106000
016331127,Existing,light industrial,1980,4,95000
016339111,Existing,light industrial,1980,7,171000
016340107,Existing,storage building,1988,7,177000
016345210,Existing,light industrial,2021,11,268000
016413207,Existing,storage warehouse,1980,3,80000
016420116,Existing,distribution warehouse,2017,8,200000
016421210,Existing,cold storage facility,2017,4,99000
016431104,Existing,storage warehouse,1980,2,40000
016431129,Existing,light industrial,1980,6,147000
016431133,Existing,distribution warehouse,1990,4,97000
016431134,Existing,distribution warehouse,1988,7,171000
016431137,Existing,storage warehouse,1990,3,74000
016431138,Existing,distribution warehouse,1990,3,74000
016431146,Existing,light industrial,1998,11,259000
016432171,Existing,light industrial,1990,4,107000
016432180,Existing,storage warehouse,1996,3,76000
016740106,Existing,distribution warehouse,2008,6,127000
016740107,Existing,distribution warehouse,2008,5,129000
016740108,Existing,distribution warehouse,2008,5,116000
016740109,Existing,distribution warehouse,2008,7,157000
016745108,Existing,distribution warehouse,2008,6,156000
016745109,Existing,distribution warehouse,2008,7,172000
016748116,Existing,distribution warehouse,2006,21,514000
016750111,Existing,flex,2005,31,752000
016751109,Existing,distribution warehouse,2003,48,1140000
016751125,Existing,storage warehouse,2006,1,34000
016751126,Existing,distribution warehouse,2006,8,181000
016751129,Existing,flex,2015,51,1211000
016754109,Existing,distribution warehouse,2012,34,803000
016755108,Existing,distribution warehouse,2001,37,884000
016755109,Existing,distribution warehouse,2006,32,769000
016757105,Existing,distribution warehouse,2007,60,1445000
016764105,Existing,distribution warehouse,2002,16,382000
016764106,Existing,distribution warehouse,2008,15,368000
016764107,Existing,distribution warehouse,2001,24,585000
016767103,Existing,distribution warehouse,2006,16,391000
016768107,Existing,distribution warehouse,2006,23,546000
016768109,Existing,distribution warehouse,2002,26,623000
016902109,Existing,light industrial,1999,5,114000
016902226,Existing,storage warehouse,2003,5,112000
016932102,Existing,distribution warehouse,1980,4,107000
018184126,Existing,storage warehouse,1980,2,59000
018184135,Existing,storage warehouse,1980,2,44000
018355104,Existing,storage warehouse,1980,2,37000
018513103,Existing,storage warehouse,2002,3,72000
018619157,Existing,light industrial,2019,15,357000
019113141,Existing,storage warehouse,1980,3,61000
019341101,Existing,flex,2016,21,497000
019437125,Existing,distribution warehouse,2006,7,176000
019437126,Existing,distribution warehouse,2006,5,128000
019437127,Existing,distribution warehouse,2006,14,326000
020726264,Existing,distribution warehouse,2021,5,123000
020726265,Existing,distribution warehouse,2021,4,93000
020726266,Existing,storage warehouse,2021,3,64000
020727125,Existing,light industrial,1980,12,298000
020727193,Existing,light industrial,1980,11,270000
020833123,Existing,storage warehouse,1980,9,211000
020896101,Existing,flex,1984,9,206000
020896102,Existing,flex,1985,8,186000
020896104,Existing,distribution warehouse,1984,6,149000
020901204,Existing,light industrial,1980,5,129000
020901208,Existing,storage warehouse,1980,3,73000
020901214,Existing,light industrial,1980,4,98000
020901215,Existing,light industrial,1980,10,248000
020901217,Existing,distribution warehouse,1998,4,105000
020901220,Existing,flex,1989,7,161000
020901221,Existing,flex,1989,6,154000
020901353,Existing,storage warehouse,1991,2,38000
020901368,Existing,flex,2005,6,145000
020901369,Existing,storage warehouse,2005,3,82000
020901370,Existing,storage warehouse,2005,2,41000
020901371,Existing,storage warehouse,2005,3,69000
020901385,Existing,light industrial,1980,18,439000
020902105,Existing,light industrial,1987,10,230000
020902117,Existing,light industrial,1980,7,168000
020902132,Existing,storage warehouse,2003,2,50000
020902216,Existing,light industrial,1980,9,210000
020902220,Existing,storage warehouse,2000,1,32000
020903211,Existing,storage warehouse,1980,1,29000
020903221,Existing,storage warehouse,1980,2,55000
020903226,Existing,light industrial,1980,4,87000
020903229,Existing,storage warehouse,2018,4,106000
020903266,Existing,storage warehouse,2018,3,68000
020913101,Existing,storage warehouse,1980,5,113000
020914303,Existing,light industrial,1980,5,110000
020914305,Existing,flex,1987,8,195000
020914306,Existing,light industrial,1980,5,113000
020914311,Existing,storage warehouse,2004,9,225000
020914313,Existing,light industrial,1981,11,262000
020914319,Existing,light industrial,1980,7,166000
020914323,Existing,light industrial,1980,5,121000
020914326,Existing,storage warehouse,1980,3,61000
020914333,Existing,storage warehouse,1998,5,122000
020914502,Existing,light industrial,1980,5,130000
020914504,Existing,storage warehouse,2000,4,105000
020914507,Existing,light industrial,1980,5,125000
020914508,Existing,light industrial,2006,6,143000
020914519,Existing,storage warehouse,1998,1,36000
020914520,Existing,light industrial,1980,5,108000
020914522,Existing,distribution warehouse,2008,4,102000
020915138,Existing,distribution warehouse,2013,6,145000
020915140,Existing,distribution warehouse,2013,4,93000
020915149,Existing,storage warehouse,2014,3,67000
020915150,Existing,storage warehouse,2014,4,88000
020915151,Existing,storage warehouse,2014,2,52000
020917118,Existing,light industrial,2002,5,112000
020917163,Existing,distribution warehouse,2006,8,198000
020919309,Existing,light industrial,1986,6,139000
020920118,Existing,distribution warehouse,1980,4,103000
020920119,Existing,light industrial,1980,7,160000
020921141,Existing,distribution warehouse,2018,5,114000
020921146,Existing,light industrial,2009,5,113000
020921149,Existing,distribution warehouse,2003,19,461000
020921150,Existing,distribution warehouse,2004,19,467000
020921170,Existing,distribution warehouse,2021,5,113000
020921171,Existing,distribution warehouse,2021,6,144000
020923115,Existing,distribution warehouse,2003,7,169000
020923410,Existing,storage warehouse,2004,1,30000
020923411,Existing,storage warehouse,2004,1,34000
020925110,Existing,distribution warehouse,2020,5,111000
020925111,Existing,distribution warehouse,1980,5,103000
020925115,Existing,light industrial,1980,7,159000
020926109,Existing,storage warehouse,2003,4,99000
020926128,Existing,distribution warehouse,2004,5,121000
020926132,Existing,light industrial,1980,5,110000
020926213,Existing,light industrial,1980,6,141000
020926215,Existing,flex,1984,8,193000
020926216,Existing,distribution warehouse,1985,6,150000
020926223,Existing,storage warehouse,1980,2,59000
020926225,Existing,distribution warehouse,2020,5,126000
020927225,Existing,flex,2005,17,398000
020940102,Existing,distribution warehouse,1984,7,166000
020940103,Existing,distribution warehouse,1984,7,160000
020940104,Existing,distribution warehouse,1984,8,196000
020940105,Existing,light industrial,1996,8,185000
020940106,Existing,light industrial,1985,6,141000
020940123,Existing,distribution warehouse,2000,8,191000
020941105,Existing,storage warehouse,2001,1,29000
020941112,Existing,distribution warehouse,2002,9,225000
020941118,Existing,distribution warehouse,1986,6,146000
020941134,Existing,light industrial,1982,9,217000
020941136,Existing,flex,2016,7,177000
020946111,Existing,storage warehouse,2001,4,99000
020946113,Existing,storage warehouse,2002,4,94000
020947105,Existing,storage warehouse,1995,1,33000
020947106,Existing,storage warehouse,1995,1,31000
020947110,Existing,storage warehouse,1995,2,38000
020947111,Existing,distribution warehouse,1998,10,243000
020947112,Existing,storage warehouse,2002,1,32000
020948101,Existing,distribution warehouse,2000,13,309000
020949105,Existing,storage warehouse,2011,2,41000
020949120,Existing,storage warehouse,1990,1,31000
020949121,Existing,storage warehouse,1989,1,31000
020949124,Existing,storage warehouse,1980,2,59000
020949150,Existing,storage warehouse,2000,3,60000
020949179,Existing,storage warehouse,2003,1,30000
020949186,Existing,storage warehouse,1998,1,29000
021003201,Existing,distribution warehouse,1984,9,226000
021003212,Existing,flex,2001,17,417000
021007132,Existing,light industrial,1980,6,146000
021007138,Existing,light industrial,1980,4,103000
021007150,Existing,light industrial,1986,5,117000
021007161,Existing,storage warehouse,1986,2,44000
021007245,Existing,distribution warehouse,2002,24,575000
021007246,Existing,distribution warehouse,2004,41,971000
021008125,Existing,distribution warehouse,2006,14,340000
021008294,Existing,distribution warehouse,2019,12,284000
021019120,Existing,light industrial,1987,5,119000
021020513,Existing,storage warehouse,2019,2,53000
021021228,Existing,storage warehouse,1987,1,31000
021021246,Existing,storage warehouse,1980,4,107000
021021263,Existing,storage warehouse,2016,4,99000
021021267,Existing,light industrial,2020,8,191000
021031103,Existing,storage warehouse,2000,1,31000
021031104,Existing,storage warehouse,2000,1,31000
021037101,Existing,storage warehouse,1980,3,66000
021037102,Existing,storage warehouse,2016,6,137000
021037109,Existing,light industrial,2003,4,91000
021055103,Existing,transit warehouse (truck terminal),1980,3,71000
021121117,Existing,flex,2012,28,680000
021121124,Existing,distribution warehouse,2013,19,446000
021121315,Existing,storage warehouse,1992,61,1459000
021122203,Existing,light industrial,1989,6,134000
021122204,Existing,storage warehouse,1990,2,58000
021122205,Existing,storage warehouse,1990,2,43000
021122206,Existing,storage warehouse,1990,1,30000
021122234,Existing,flex,1988,5,124000
021122239,Existing,light industrial,1987,11,265000
021122240,Existing,distribution warehouse,1998,7,165000
021122241,Existing,distribution warehouse,1987,9,226000
021122242,Existing,storage warehouse,1987,1,30000
021122243,Existing,storage warehouse,1988,1,34000
021122244,Existing,storage warehouse,1987,2,48000
021122245,Existing,light industrial,1990,5,131000
021122246,Existing,distribution warehouse,1988,5,123000
021122262,Existing,distribution warehouse,1996,20,482000
021122264,Existing,distribution warehouse,1999,20,483000
021122265,Existing,distribution warehouse,1999,14,330000
021122270,Existing,flex,2003,10,228000
021122273,Existing,distribution warehouse,1998,12,286000
021123221,Existing,light industrial,1987,9,204000
021123222,Existing,distribution warehouse,1988,16,384000
021123223,Existing,flex,1988,7,168000
021123224,Existing,distribution warehouse,1993,4,86000
021123225,Existing,storage warehouse,1999,2,50000
021123227,Existing,storage warehouse,1999,3,63000
021123228,Existing,light industrial,1988,5,117000
021123229,Existing,storage warehouse,1988,3,73000
021123237,Existing,storage warehouse,2000,2,39000
021123242,Existing,flex,1996,15,367000
021123247,Existing,flex,1998,18,426000
021123248,Existing,light industrial,1996,19,448000
021123249,Existing,storage warehouse,2000,2,40000
021123250,Existing,storage warehouse,2000,2,51000
021123251,Existing,storage warehouse,2000,2,44000
021123252,Existing,storage warehouse,2000,2,42000
021123260,Existing,light industrial,2020,5,126000
021123261,Existing,light industrial,2000,4,103000
021123262,Existing,storage warehouse,1988,12,298000
021124224,Existing,distribution warehouse,2007,6,141000
021124238,Existing,distribution warehouse,1988,6,151000
021124239,Existing,light industrial,1988,6,141000
021124240,Existing,storage warehouse,1990,4,93000
021124244,Existing,light industrial,1994,10,239000
021124245,Existing,light industrial,1996,6,140000
021124246,Existing,storage warehouse,1999,2,49000
021124249,Existing,light industrial,1996,6,148000
021124251,Existing,light industrial,1994,9,216000
021124258,Existing,distribution warehouse,1999,5,129000
021124260,Existing,light industrial,1997,6,151000
021124261,Existing,distribution warehouse,1998,11,269000
021124262,Existing,flex,1999,11,258000
021124263,Existing,distribution warehouse,1999,5,127000
021126110,Existing,distribution warehouse,1998,29,694000
021126111,Existing,distribution warehouse,1998,33,782000
021126113,Existing,flex,2008,28,682000
021126115,Existing,distribution warehouse,2012,5,126000
021126116,Existing,flex,2012,5,115000
021126119,Existing,storage warehouse,2017,2,38000
021126120,Existing,storage warehouse,2017,2,57000
021126206,Existing,distribution warehouse,1992,12,281000
021126207,Existing,storage warehouse,2019,4,84000
021126208,Existing,light industrial,1980,4,85000
021126319,Existing,transit warehouse (truck terminal),1992,70,1681000
021126324,Existing,distribution warehouse,1998,10,241000
021126343,Existing,storage warehouse,2000,2,55000
021126345,Existing,transit warehouse (truck terminal),2018,20,482000
021127214,Existing,storage warehouse,2021,1,34000
021127501,Existing,distribution warehouse,2000,8,203000
021127502,Existing,flex,2000,8,200000
021127503,Existing,distribution warehouse,1990,9,216000
021127505,Existing,storage warehouse,2006,4,106000
021127506,Existing,storage warehouse,2000,2,49000
021127507,Existing,storage warehouse,2000,3,60000
021127508,Existing,distribution warehouse,2000,3,81000
021127509,Existing,distribution warehouse,1991,7,160000
021127510,Existing,distribution warehouse,2000,3,78000
021127511,Existing,distribution warehouse,2001,16,374000
021127512,Existing,distribution warehouse,2000,5,120000
021127513,Existing,storage warehouse,1992,3,77000
021127514,Existing,storage warehouse,1990,3,75000
021127515,Existing,storage warehouse,1990,4,92000
021127516,Existing,storage warehouse,1990,3,61000
021127517,Existing,storage warehouse,1989,4,93000
021127518,Existing,light industrial,1992,5,121000
021127519,Existing,distribution warehouse,1991,4,98000
021127520,Existing,light industrial,1996,10,240000
021127523,Existing,storage warehouse,1999,2,58000
021127525,Existing,distribution warehouse,1981,5,119000
021127526,Existing,storage warehouse,2000,1,30000
021127527,Existing,storage warehouse,1990,1,31000
021127532,Existing,storage warehouse,1999,2,44000
021127533,Existing,light industrial,1990,6,138000
021127534,Existing,distribution warehouse,1990,15,366000
021127535,Existing,distribution warehouse,1999,7,158000
021127536,Existing,light industrial,1996,11,261000
021127537,Existing,distribution warehouse,1994,14,332000
021127538,Existing,distribution warehouse,1998,10,228000
021127539,Existing,distribution warehouse,2001,18,437000
021127540,Existing,storage warehouse,2003,3,63000
021127542,Existing,storage warehouse,2001,2,37000
021127543,Existing,storage warehouse,2001,2,44000
021127545,Existing,storage warehouse,2001,1,34000
021127548,Existing,flex,2001,8,199000
021127551,Existing,storage warehouse,2007,3,67000
021127552,Existing,distribution warehouse,1990,11,267000
021127553,Existing,distribution warehouse,2007,7,163000
021127554,Existing,storage warehouse,2016,2,51000
021128105,Existing,distribution warehouse,1980,15,356000
021128130,Existing,distribution warehouse,2001,12,290000
021128131,Existing,distribution warehouse,2001,6,150000
021128132,Existing,distribution warehouse,1999,7,175000
021128134,Existing,distribution warehouse,1999,31,740000
021128140,Existing,flex,1999,16,385000
021128141,Existing,distribution warehouse,1999,19,454000
021128143,Existing,distribution warehouse,2001,21,503000
021128144,Existing,distribution warehouse,2001,28,677000
021128145,Existing,storage warehouse,2004,3,63000
021128156,Existing,storage warehouse,2020,2,49000
021128157,Existing,flex,2008,26,635000
021128158,Existing,flex,2008,19,463000
021128159,Existing,flex,2008,30,726000
021128160,Existing,flex,2008,11,275000
021128161,Existing,storage warehouse,2008,3,83000
021130111,Existing,distribution warehouse,2001,11,254000
021130112,Existing,distribution warehouse,2001,31,744000
021130113,Existing,flex,2006,6,151000
021130118,Existing,storage warehouse,2004,4,91000
021131205,Existing,distribution warehouse,2002,5,127000
021132118,Existing,storage warehouse,2005,2,43000
021132127,Existing,storage warehouse,2005,1,34000
021631204,Existing,transit warehouse (truck terminal),1980,9,217000
021631205,Existing,transit warehouse (truck terminal),2004,10,228000
021813139,Existing,cold storage facility,1980,8,201000
021817118,Existing,light industrial,1981,28,668000
022802132,Existing,storage warehouse,1997,10,239000
022901240,Existing,storage warehouse,2000,4,96000
022901241,Existing,distribution warehouse,2000,23,552000
022901242,Existing,distribution warehouse,2000,21,493000
022901243,Existing,flex,2001,21,504000
022901244,Existing,flex,2003,23,544000
022901255,Existing,distribution warehouse,2001,8,183000
022901275,Existing,storage warehouse,2021,2,53000
022901276,Existing,storage warehouse,2021,2,39000
022901277,Existing,storage warehouse,2021,2,43000
022901278,Existing,storage warehouse,2021,1,34000
022901279,Existing,storage warehouse,2021,1,31000
022901280,Existing,storage warehouse,2021,1,30000
022902160,Existing,distribution warehouse,2019,27,638000
022902165,Existing,distribution warehouse,2001,14,344000
022908211,Existing,storage warehouse,1980,1,35000
022911112,Existing,storage warehouse,1980,9,222000
022911124,Existing,distribution warehouse,1985,8,196000
022911125,Existing,flex,1985,7,167000
022911126,Existing,flex,1988,7,167000
022911128,Existing,storage warehouse,1990,2,49000
022911130,Existing,distribution warehouse,2001,2,59000
022911147,Existing,flex,1990,13,314000
022911150,Existing,flex,1990,9,216000
022911153,Existing,storage warehouse,1991,3,66000
022911155,Existing,storage warehouse,1993,3,73000
022911162,Existing,flex,2001,11,265000
022911163,Existing,light industrial,1992,5,121000
022911164,Existing,distribution warehouse,2001,20,475000
022911165,Existing,distribution warehouse,2007,15,361000
022911166,Existing,storage warehouse,2001,1,29000
022911167,Existing,storage warehouse,2001,1,35000
022911169,Existing,storage warehouse,2001,1,34000
022911170,Existing,storage warehouse,2001,3,63000
022911176,Existing,storage warehouse,2005,3,61000
022911177,Existing,storage warehouse,2005,2,48000
022911178,Existing,storage warehouse,2005,2,44000
022911179,Existing,storage warehouse,2005,3,61000
022912137,Existing,storage warehouse,2005,2,36000
022912138,Existing,storage warehouse,1989,2,51000
022912145,Existing,distribution warehouse,1990,3,62000
022912146,Existing,distribution warehouse,1990,4,103000
022912147,Existing,storage warehouse,1988,3,75000
022912150,Existing,storage warehouse,1988,2,48000
022912151,Existing,storage warehouse,1989,2,43000
022912157,Existing,flex,2005,9,226000
022913115,Existing,transit warehouse (truck terminal),2020,5,120000
